"chr","new_wind","count_sl_15_30","count_sl_16_50","count_sl_6_15","length_sl_15_30","length_sl_16_50","length_sl_6_15","from","to","coverage_sl_15_30","coverage_sl_16_50","coverage_sl_6_15"
"1",107,8373,407,17563,528600,18776,551100,106000000,107000000,0.5286,0.018776,0.5511
"1",108,8435,307,17806,500744,13636,529279,107000000,108000000,0.500744,0.013636,0.529279
"1",109,8253,255,17574,471729,11175,512967,108000000,109000000,0.471729,0.011175,0.512967
"1",110,8345,305,17878,476136,14582,509013,109000000,110000000,0.476136,0.014582,0.509013
"1",111,8343,225,17779,458483,8710,497358,110000000,111000000,0.458483,0.00871,0.497358
"1",112,8273,247,17584,455797,10136,500621,111000000,112000000,0.455797,0.010136,0.500621
"1",113,8227,223,17511,451077,10749,495674,112000000,113000000,0.451077,0.010749,0.495674
"1",114,8411,258,17822,472268,11075,505880,113000000,114000000,0.472268,0.011075,0.50588
"1",115,8215,249,17744,462563,10575,509669,114000000,115000000,0.462563,0.010575,0.509669
"1",116,8304,268,17679,471542,11197,510977,115000000,116000000,0.471542,0.011197,0.510977
"1",117,8271,270,17580,452171,11452,497899,116000000,117000000,0.452171,0.011452,0.497899
"1",118,8200,257,17617,450636,10457,498168,117000000,118000000,0.450636,0.010457,0.498168
"1",119,8329,269,17639,475719,13143,511309,118000000,119000000,0.475719,0.013143,0.511309
"1",120,8242,266,17563,459494,12157,505470,119000000,120000000,0.459494,0.012157,0.50547
"1",121,7387,184,15762,404933,7478,441010,120000000,121000000,0.404933,0.007478,0.44101
"1",122,3520,79,7122,194631,3257,210183,121000000,122000000,0.194631,0.003257,0.210183
"1",123,0,0,0,0,0,0,122000000,123000000,0,0,0
"1",124,0,0,0,0,0,0,123000000,124000000,0,0,0
"1",125,0,0,0,0,0,0,124000000,125000000,0,0,0
"1",126,0,0,0,0,0,0,125000000,126000000,0,0,0
"1",127,0,0,0,0,0,0,126000000,127000000,0,0,0
"1",128,0,0,0,0,0,0,127000000,128000000,0,0,0
"1",129,0,0,0,0,0,0,128000000,129000000,0,0,0
"1",130,0,0,0,0,0,0,129000000,130000000,0,0,0
"1",131,0,0,0,0,0,0,130000000,131000000,0,0,0
"1",132,0,0,0,0,0,0,131000000,132000000,0,0,0
"1",133,0,0,0,0,0,0,132000000,133000000,0,0,0
"1",134,0,0,0,0,0,0,133000000,134000000,0,0,0
"1",135,0,0,0,0,0,0,134000000,135000000,0,0,0
"1",136,0,0,0,0,0,0,135000000,136000000,0,0,0
"1",137,0,0,0,0,0,0,136000000,137000000,0,0,0
"1",138,0,0,0,0,0,0,137000000,138000000,0,0,0
"1",139,0,0,0,0,0,0,138000000,139000000,0,0,0
"1",140,0,0,0,0,0,0,139000000,140000000,0,0,0
"1",141,0,0,0,0,0,0,140000000,141000000,0,0,0
"1",142,0,0,0,0,0,0,141000000,142000000,0,0,0
"1",143,3033,102,6645,181509,4037,193872,142000000,143000000,0.181509,0.004037,0.193872
"1",144,5231,192,11190,304560,7623,321630,143000000,144000000,0.30456,0.007623,0.32163
"1",145,5891,194,12438,323012,8438,354044,144000000,145000000,0.323012,0.008438,0.354044
"1",146,7907,215,16737,430190,8924,466811,145000000,146000000,0.43019,0.008924,0.466811
"1",147,7514,215,15547,414085,9241,450213,146000000,147000000,0.414085,0.009241,0.450213
"1",148,8310,267,17646,462286,11973,502855,147000000,148000000,0.462286,0.011973,0.502855
"1",149,5097,169,10550,288567,8224,312994,148000000,149000000,0.288567,0.008224,0.312994
"1",150,7960,240,16619,438264,10462,466617,149000000,150000000,0.438264,0.010462,0.466617
"1",151,8405,272,17977,467686,12371,499512,150000000,151000000,0.467686,0.012371,0.499512
"1",152,8352,274,17741,453347,11483,492267,151000000,152000000,0.453347,0.011483,0.492267
"1",153,8050,228,17197,448665,10231,495992,152000000,153000000,0.448665,0.010231,0.495992
"1",154,8201,247,17504,439893,10551,485423,153000000,154000000,0.439893,0.010551,0.485423
"1",155,8313,218,17792,446488,9060,489445,154000000,155000000,0.446488,0.00906,0.489445
"1",156,8353,212,17759,452802,9693,488447,155000000,156000000,0.452802,0.009693,0.488447
"1",157,8197,220,17468,439268,8681,478377,156000000,157000000,0.439268,0.008681,0.478377
"1",158,8208,220,17483,450714,9237,499481,157000000,158000000,0.450714,0.009237,0.499481
"1",159,8152,253,17388,464189,10161,506806,158000000,159000000,0.464189,0.010161,0.506806
"1",160,8236,266,17386,458502,10790,496467,159000000,160000000,0.458502,0.01079,0.496467
"1",161,8097,217,17489,431163,9613,482028,160000000,161000000,0.431163,0.009613,0.482028
"1",162,8143,251,17538,447879,10127,492552,161000000,162000000,0.447879,0.010127,0.492552
"1",163,8430,288,17680,465386,12590,501666,162000000,163000000,0.465386,0.01259,0.501666
"1",164,8332,310,17613,478773,13537,513647,163000000,164000000,0.478773,0.013537,0.513647
"1",165,8456,283,17677,471117,11634,507699,164000000,165000000,0.471117,0.011634,0.507699
"1",166,8408,233,17597,459137,10979,497649,165000000,166000000,0.459137,0.010979,0.497649
"1",167,8128,256,17434,457570,12223,504807,166000000,167000000,0.45757,0.012223,0.504807
"1",168,8414,254,17773,465899,10443,503858,167000000,168000000,0.465899,0.010443,0.503858
